 objectid,premises_name, long, lat, lga
16408,EUROA LAWN TENNIS CLUB,145.5776477,-36.7467395,STRATHBOGIE
16409,ECHUCA FOOTBALL CLUB,144.739308,-36.116517,CAMPASPE
16410,FRANKSTON BASEBALL CLUB,145.161609,-38.170836,FRANKSTON
16411,CHILTERN FOOTBALL CLUB,146.61501,-36.150785,INDIGO
16412,DUTCH-AUSTRALIAN COMMUNITY COUNCIL,144.834845,-37.750251,BRIMBANK CITY
16413,BROADFORD FOOTBALL CLUB,145.0433939,-37.20316,MITCHELL
16414,MORWELL FOOTBALL & NETBALL CLUB,146.389888,-38.239838,LATROBE
16415,ALTONA CITY SOCCER CLUB,144.8411347,-37.8617613,HOBSONS BAY
16416,YEA GOLF CLUB,145.4032829,-37.2147149,MURRINDINDI
16417,WEST ROSEBUD BOWLING CLUB,144.869666,-38.372335,MORNINGTON PENINSULA SHIRE
16418,GEORGE HOTEL,143.8573994,-37.56083146,BALLARAT CITY
16419,ENDEAVOUR HILLS TENNIS CLUB,145.261849,-37.987037,CASEY
16420,BROADFORD BOWLING CLUB,145.0533,-37.204514,MITCHELL
16421,SOUTHERN ROAD CELLARS,145.055749,-37.743101,BANYULE
16422,THE MAIN RIDGE BOWLS AND PETANQUE CLUB,144.968538,-38.400437,MORNINGTON PENINSULA SHIRE
16423,CRANBOURNE SOCCER CLUB,145.268797,-38.117835,CASEY
16424,ALTONA YACHT CLUB,144.846913,-37.866359,HOBSONS BAY
16425,APOLLO BAY SURF LIFESAVING CLUB,143.671117,-38.756543,COLAC OTWAY
16426,ALEXANDRA BOWLING CLUB,145.7102001,-37.1889147,MURRINDINDI
16427,HAMPTON CENTRAL CRICKET CLUB,145.020467,-37.938695,BAYSIDE
16428,LALBERT GOLF CLUB,143.3508001,-35.6715367,GANNAWARRA
16429,FISH CREEK BOWLS CLUB INCORP,146.082233,-38.691581,SOUTH GIPPSLAND
16430,ANGLESEA CRICKET CLUB,144.202015,-38.399059,SURF COAST
16431,DOVETON TENNIS CLUB,145.244263,-37.995001,CASEY
16432,AIRPORT WEST ST. CHRISTOPHERS CRICKET CLUB,144.87688,-37.723563,MOONEE VALLEY CITY
16433,RUTHERGLEN BOWLING CLUB,146.455948,-36.053187,INDIGO
16434,TATURA LAWN TENNIS CLUB,145.230971,-36.444369,GREATER SHEPPARTON CITY
16435,CORIO COMMUNITY SPORTS CLUB,144.359942,-38.072798,GREATER GEELONG
16436,SOUTH COLAC SPORTS CLUB,143.581789,-38.365262,COLAC OTWAY
16437,EASTERN HILL CRICKET CLUB,145.126624,-37.022924,MITCHELL
16438,TALLANGATTA GOLF CLUB,147.170603,-36.217458,TOWONG SHIRE
16439,NOBLE PARK COMMUNITY TENNIS CLUB,145.168627,-37.978726,GREATER DANDENONG CITY
16440,NULLAWIL SPORTS MENS CLUB,143.173927,-35.852583,BULOKE
16441,SALE ANGLING & SPORTS FISHING CLUB,147.069832,-38.127589,WELLINGTON
16442,"BWS - BEER, WINE, SPIRITS",144.548532,-38.25829,GREATER GEELONG
16443,INGLEWOOD BOWLING CLUB,143.875153,-36.576489,LODDON
16444,CULGOA BOWLING CLUB,143.107079,-35.716278,BULOKE
16445,VICTORIAN FIELD & GAME ASSOCIATION SUNRAYSIA,142.084778,-34.27629,MILDURA
16446,BERRIWILLOCK BOWLING CLUB,142.9948155,-35.63613965,BULOKE
16447,ECHUCA LAWN TENNIS CLUB,144.739963,-36.1159685,CAMPASPE
16448,MOYSTON WILLAURA FOOTBALL NETBALL CLUB,142.744065,-37.545035,ARARAT RURAL CITY
16449,VERMONT SOUTH CRICKET CLUB,145.183151,-37.853394,WHITEHORSE CITY
16450,ST ARNAUD & DISTRICT LAWN TENNIS CLUB,143.265503,-36.624637,NORTHERN GRAMPIANS SHIRE
16451,OCEAN GROVE SURF LIFE SAVING CLUB,144.5150763,-38.2718655,GREATER GEELONG
16452,ITALIAN COMMUNITY COMMUNITY CENTRE,145.1057551,-37.9683707,KINGSTON CITY
16453,WILLAURA BOWLING CLUB,142.744065,-37.545035,ARARAT RURAL CITY
16454,IVANHOE RSL CLUB,145.0475093,-37.7636289,BANYULE
16455,BALNARRING BOWLS & SOCIAL CLUB,145.123807,-38.37715,MORNINGTON PENINSULA SHIRE
16456,AIRPORT WEST FOOTBALL CLUB,144.87688,-37.723563,MOONEE VALLEY CITY
16457,QUAMBATOOK GOLF CLUB,143.527821,-35.849684,GANNAWARRA
16458,YINNAR BOWLS & RECREATION CLUB,146.328244,-38.320763,LATROBE
16459,WARRNAMBOOL RSL,142.4804024,-38.38691854,WARRNAMBOOL CITY
16460,NYAH DISTRICT BOWLING CLUB,143.347247,-35.184651,SWAN HILL
16461,MOYHU FOOTBALL CLUB,146.367793,-36.57611,WANGARATTA
16462,ALTONA HOCKEY CLUB,144.8269706,-37.862083,HOBSONS BAY
16463,HOPETOUN BOWLS CLUB,142.3667166,-35.72656565,YARRIAMBIACK
16464,NYAH WEST GOLF CLUB,143.354538,-35.164322,SWAN HILL
16465,DONCASTER ROVERS SOCCER CLUB,145.170917,-37.765252,MANNINGHAM
16466,GLIDING CLUB OF VICTORIA,145.996111,-36.552548,BENALLA
16467,TYABB TENNIS CLUB,145.1878905,-38.2609743,MORNINGTON PENINSULA SHIRE
16468,YEA BOWLS CLUB,145.4235736,-37.2122814,MURRINDINDI
16469,MITIAMO GOLF CLUB,144.231649,-36.210562,LODDON
16470,ALTONA NORTH BOWLS CLUB,144.860702,-37.841183,HOBSONS BAY
16471,YARRAGON CRICKET CLUB,146.059228,-38.208182,BAW BAW SHIRE
16472,HORSHAM ANGLING CLUB,142.2002311,-36.7231738,HORSHAM
16473,WARRNAMBOOL BOWLS CLUB,142.4862127,-38.38776031,WARRNAMBOOL CITY
16474,BAYSWATER SPORTS CLUB,145.2687965,-37.8364317,KNOX CITY
16475,KOO-WEE-RUP BOWLING CLUB,145.4866894,-38.2008361,CARDINIA
16476,BENALLA LAWN TENNIS & CROQUET CLUB,145.978614,-36.54466,BENALLA
16477,SHEPPARTON ITALIAN SOCIAL CLUB,145.396993,-36.3853763,GREATER SHEPPARTON CITY
16478,NORTH RINGWOOD TENNIS CLUB,145.236168,-37.79019081,MAROONDAH
16479,COLBINABBIN BOWLS CLUB,144.800947,-36.586418,CAMPASPE
16480,GUNBOWER BOWLS CLUB,144.374061,-35.95468,CAMPASPE
16481,MORDIALLOC SPORTING CLUB,145.092093,-38.003728,KINGSTON CITY
16482,LEGEND PARK TENNIS CLUB,145.181186,-37.871445,MONASH CITY
