premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
ADINA APARTMENT HOTEL MELBOURNE,MELBOURNE,33122102,189 QUEEN STREET,null,3000,144.9600761,General Licence,21271,MELBOURNE,-37.81426374
ELIANA LULU,MELBOURNE,32246555,7-9 CENTRE PLACE,null,3000,144.9655334,Restaurant and cafe Licence,21315,MELBOURNE,-37.81661046
MADAMIMADAM,MELBOURNE,32247064,16 EQUITABLE PLACE,null,3000,144.963641,Restaurant and cafe Licence,21337,MELBOURNE,-37.81591704
RANDY DRAGON,MELBOURNE,31822764,BASEMENT,313A FLINDERS LANE,3000,144.963791,Late night (on-premises) Licence,21351,MELBOURNE,-37.817527
BILLBOARD NIGHTCLUB,MELBOURNE,31822609,170 RUSSELL STREET,null,3000,144.9680382,Late night (on-premises) Licence,21356,MELBOURNE,-37.81204345
QUEEN STREET RESCUE,MELBOURNE,31822510,185-191 QUEEN STREET,null,3000,144.9600761,On-Premises Licence,21364,MELBOURNE,-37.81426374
WAGYU ONE,MELBOURNE,32247810,"SHOP 1, 122 BOURKE STREET",null,3000,144.9695798,Restaurant and cafe Licence,21382,MELBOURNE,-37.81214745
STORYVILLE,MELBOURNE,31822879,1ST & 2ND FLOORS,185-187 LONSDALE STREET,3000,144.9668331,Late night (on-premises) Licence,21435,MELBOURNE,-37.81116996
THE BELLA UNION,CARLTON,32248117,54 VICTORIA STREET,null,3053,144.9662348,Late night (on-premises) Licence,21442,MELBOURNE,-37.80633174
CAFE EURO FOOD AND WINE BAR,MELBOURNE,32247682,FRONT GROUND FLOOR,488-490 BOURKE STREET,3000,144.9592719,Restaurant and cafe Licence,21454,MELBOURNE,-37.81515185
ROCKPOOL BAR & GRILL,SOUTHBANK,31822714,"SHOP 1, LEVEL 1 / 8 WHITEMAN STREET",CROWN ENTERTAINMENT COMPLEX,3006,144.9604,Late night (on-premises) Licence,21457,MELBOURNE,-37.8219
CHERRY BAR,MELBOURNE,31850220,BASEMENT,103-105 FLINDERS LANE,3000,144.970892,Late night (on-premises) Licence,21469,MELBOURNE,-37.81545096
CHINA CHILLI,MELBOURNE,31850076,207 LONSDALE STREET,null,3000,144.9663418,On-Premises Licence,21480,MELBOURNE,-37.81131281
JANKARA KARAOKE,MELBOURNE,31850092,"GND FLOOR, 300 RUSSELL STREET",null,3000,144.966885,Late night (on-premises) Licence,21481,MELBOURNE,-37.809524
