premises_name, suburb, licence_no, address_1, address_2, postcode, long, licence_category, objectid, lga, lat
EURO LANE CAFE,MELBOURNE,32335516,SHOP 16-18 CENTRE PLACE,258-260 FLINDERS LANE,3000,144.9655274,Restaurant and cafe Licence,4435,MELBOURNE,-37.81679125
GANGNAM POCHA,MELBOURNE,32336407,SHOP 1,270 KING STREET,3000,144.9548096,Restaurant and cafe Licence,4458,MELBOURNE,-37.81378433
ELIZABETH ANDREWS CORPORATE CATERING,MELBOURNE,36141325,309 KING ST,null,3000,144.9539818,Limited Licence,4461,MELBOURNE,-37.81322975
A HEREFORD BEEFSTOUW,MELBOURNE,32334722,U 2 L 1,100 FLINDERS ST,3000,144.9714315,Restaurant and cafe Licence,4469,MELBOURNE,-37.81607315
S K CLUB,MELBOURNE,32335231,"RETAIL 3, 466-468",LITTLE LONSDALE STREET,3000,144.9555907,Restaurant and cafe Licence,4472,MELBOURNE,-37.81296933
HAUS & CO BEAUTY BAR,SOUTHBANK,36141757,"SHOP 17R, LEVEL 1",1 FRESHWATER PLACE,3006,144.9624714,Limited Licence,4478,MELBOURNE,-37.82153375
S.P.Q.R PIZZERIA,MELBOURNE,32335671,26 LIVERPOOL STREET,null,3000,144.971366,Restaurant and cafe Licence,4485,MELBOURNE,-37.811054
SUN MOTH CANTEEN & BAR,MELBOURNE,36141896,28 NIAGARA LANE,null,3000,144.9614012,Limited Licence,4498,MELBOURNE,-37.81275469
SPICY NOODLE QUEEN,MELBOURNE,32337665,240 SWANSTON STREET,null,3000,144.9653342,Restaurant and cafe Licence,4503,MELBOURNE,-37.81224598
22 WHITEHART,MELBOURNE,32335689,GROUND AND FIRST FLOOR,22 WHITEHART LANE,3000,144.96195,On-Premises Licence,4517,MELBOURNE,-37.813016
MAIL EXCHANGE HOTEL,MELBOURNE,31956327,NORTH EAST CORNER,BOURKE AND SPENCER STREETS,3008,144.9533437,Late night (general) Licence,4525,MELBOURNE,-37.81667245
BARBARELLA GELATO & WINE,MELBOURNE,32335697,BLOCK ARCADE SOUTH,BLOCK ARCADE 282-284,3000,144.9644733,Restaurant and cafe Licence,4529,MELBOURNE,-37.81588087
THE MANJOK MELBOURNE,MELBOURNE,32335176,360 LA TROBE STREET,null,3000,144.9591391,Restaurant and cafe Licence,4530,MELBOURNE,-37.81075091
FLINDERS LANDING,MELBOURNE,32335370,1 FLINDERS WALK,"FLINDERS LANDING, NORTHBANK YARRA RIVER",3000,144.966692,On-Premises Licence,4552,MELBOURNE,-37.818981
LONSDALE CELLARS,MELBOURNE,32066696,404T/621 LONSDALE ST,null,3000,144.9529159,Packaged Liquor Licence,4564,MELBOURNE,-37.81576142
BETTY'S BURGERS & CONCRETE CO,MELBOURNE,32335388,97 ELIZABETH STREET,null,3000,144.963641,Restaurant and cafe Licence,4569,MELBOURNE,-37.81591704
NIKU NIKU JAPANESE GOURMET,MELBOURNE,32335655,338 QUEEN STREET,null,3000,144.9590362,Restaurant and cafe Licence,4573,MELBOURNE,-37.81077617
TORASAN,MELBOURNE,36142062,"SHOP S01, GROUND & FIRST FLOOR",410 ELIZABETH STREET,3000,144.9610528,Limited Licence,4577,MELBOURNE,-37.80903594
THE LITTLE MULE CAFE,MELBOURNE,32335590,19 SOMERSET PLACE,null,3000,144.9623949,Restaurant and cafe Licence,4586,MELBOURNE,-37.81379924
DOOBOO KOREAN TOFU HOUSE,MELBOURNE,32335883,261 SWANSTON ST,null,3000,144.9646804,Restaurant and cafe Licence,4601,MELBOURNE,-37.81206345
70 GRAMS PIZZA COFFEE KITCHEN,MELBOURNE,32335469,"TENANCY FL 2.03, LEVEL 2,","ST COLLINS LANE, 260 COLLINS STREET",3000,144.9650797,Restaurant and cafe Licence,4616,MELBOURNE,-37.81572013
SOI 38,MELBOURNE,32335825,"GROUND FLOOR, 34-60 LITTLE COLLINS ST",null,3000,144.9722299,Restaurant and cafe Licence,4629,MELBOURNE,-37.81257662
THE MESS HALL,MELBOURNE,36142232,51 BOURKE ST,null,3000,144.9717711,Limited Licence,4631,MELBOURNE,-37.81196953
SHIRAAZ AT CBD FINE INDIAN CUISINE,MELBOURNE,36142088,22 WILLIAM STREET,null,3000,144.9599242,Limited Licence,4659,MELBOURNE,-37.81879631
WINEBUBBLE,MELBOURNE,36142224,"LEVEL 10, TOWER 4",611 FLINDERS STREET,3005,144.9537474,Limited Licence,4660,MELBOURNE,-37.8217598
B & B' GUETTE CAFE,MELBOURNE,32336871,305 EXHIBITION ST,null,3000,144.9687796,Restaurant and cafe Licence,4687,MELBOURNE,-37.80879985
THESE ARE THE PROJECTS WE DO TOGETHER,SOUTHBANK,36144488,1-23 CITY ROAD,null,3006,144.9677424,Limited Licence,4711,MELBOURNE,-37.82135344
CITADINES MELBOURNE ON BOURKE,MELBOURNE,31956416,131-135 BOURKE STREET,null,3000,144.9693093,General Licence,4715,MELBOURNE,-37.81268409
OMBRA,MELBOURNE,31956458,76 BOURKE STREET,null,3000,144.970959,General Licence,4721,MELBOURNE,-37.811757
HI MART MELBOURNE,WEST MELBOURNE,36142800,61 JEFFCOTT ST,null,3003,144.9517311,Limited Licence,4733,MELBOURNE,-37.81205124
ENA GREEK STREET FOOD,SOUTHBANK,36142614,SHOP MR04/M9 SOUTHGATE MELBOURNE,3 SOUTHGATE AVENUE,3006,144.9665245,Limited Licence,4759,MELBOURNE,-37.8202285
SDT CAPITAL,MELBOURNE,36143335,L 5,180 FLINDERS ST,3000,144.9687183,Limited Licence,4770,MELBOURNE,-37.81687062
SUNNY BOY CAFE,MELBOURNE,32337275,"SHOP 4, 440 COLLINS ST",null,3000,144.959859,Restaurant and cafe Licence,4782,MELBOURNE,-37.81719781
RED SPICE ROAD QV,MELBOURNE,36143694,31-37 ARTEMIS LANE,null,3000,144.9655342,Limited Licence,4796,MELBOURNE,-37.8103574
CLIFTONS OPERATIONS,MELBOURNE,32337071,"LEVELS 1, 2 & 11",440 COLLINS STREET,3000,144.959859,On-Premises Licence,4797,MELBOURNE,-37.81719781
THE TRUSTEE FOR THE SPEAKEASY HQ TRUST,MELBOURNE,32336813,522 FLINDERS ST,null,3000,144.9569223,On-Premises Licence,4801,MELBOURNE,-37.82029196
ICUE LOUNGE,MELBOURNE,32337013,LEVEL 3,191 LITTLE LONSDALE STREET,3000,144.9655342,On-Premises Licence,4825,MELBOURNE,-37.8103574
CALIA AUSTRALIA,MELBOURNE,31956490,"T3-308, LEVEL 3 EMPORIUM MELBOURNE",287 LONSDALE STREET,3000,144.9636952,General Licence,4859,MELBOURNE,-37.812086
SUNNY BOY CAFE,MELBOURNE,36143026,"SHOP 4, 440 COLLINS STREET",null,3000,144.959859,Limited Licence,4860,MELBOURNE,-37.81719781
I LOVE CHICKEN,MELBOURNE,32337673,"SHOP 405T, 220 SPENCER STREET",null,3000,144.9530742,Restaurant and cafe Licence,4879,MELBOURNE,-37.81558374
ANNAM RESTAURANT BAR,MELBOURNE,32337720,56 LITTLE BOURKE STREET,null,3000,144.9702376,Restaurant and cafe Licence,4957,MELBOURNE,-37.81072651
NANDO'S 27 ELIZABETH STREET,MELBOURNE,36143393,27 ELIZABETH STREET,null,3000,144.9643939,Limited Licence,4976,MELBOURNE,-37.81752865
DELIVEROO AUSTRALIA,MELBOURNE,36143466,"LEVEL 1, 161 COLLINS STREET",null,3000,144.9686243,Limited Licence,4988,MELBOURNE,-37.81510341
LITTLE SICHUAN,MELBOURNE,32338386,27 RED CAPE LANE,null,3000,144.9655342,Restaurant and cafe Licence,5014,MELBOURNE,-37.8103574
HUXTABURGER,MELBOURNE,36143602,T11 FULHAM PLACE,PART OF 357 COLLINS STREET,3000,144.9626332,Limited Licence,5027,MELBOURNE,-37.81684919
HARDWARE STREET CAFE,MELBOURNE,32338077,119 HARDWARE STREET,null,3000,144.9603934,Restaurant and cafe Licence,5034,MELBOURNE,-37.8120919
A25 PIZZERIA,MELBOURNE,36143767,"SHOP 3, 399 LONSDALE STREET",null,3000,144.960655,Limited Licence,5039,MELBOURNE,-37.81297252
AGIT MELBOURNE,MELBOURNE,32339544,GROUND FLOOR,552 LONSDALE STREET,3000,144.9558946,Restaurant and cafe Licence,5046,MELBOURNE,-37.81389381
BEECHWORTH HONEY EXPERIENCE,MELBOURNE,36143806,"SHOP 14, THE BLOCK ARCADE",280-292 COLLINS STREET,3000,144.9644733,Limited Licence,5049,MELBOURNE,-37.81588087
JANG GO MAMA,MELBOURNE,32338344,147 LONSDALE STREET,null,3000,144.9681374,Restaurant and cafe Licence,5066,MELBOURNE,-37.81076003
NANDO'S,MELBOURNE,32338271,551 FLINDERS STREET,null,3000,144.9565951,Restaurant and cafe Licence,5067,MELBOURNE,-37.82085366
NANDO'S,MELBOURNE,32338467,170 FLINDERS STREET,null,3000,144.9691141,Restaurant and cafe Licence,5076,MELBOURNE,-37.81675557
TOKYO JAPANESE RESTAURANT - MELBOURNE CENTRAL,MELBOURNE,32338459,LEVEL 1,315-321 ELIZABETH STREET,3000,144.9615102,Restaurant and cafe Licence,5086,MELBOURNE,-37.81126963
ARLECHIN,MELBOURNE,32338514,"TENANCY 3&4, 166-172 EXHIBITION ST",ACCESS VIA MORNANE PLACE,3000,144.9706009,Restaurant and cafe Licence,5104,MELBOURNE,-37.81156185
HANGER CAFE SPENCER STREET,DOCKLANDS,32338996,F214/201 SPENCER STREET,null,3008,144.9526066,Restaurant and cafe Licence,5138,MELBOURNE,-37.81639485
FANCY FREE,MELBOURNE,32340595,"SHOP 1, 360 COLLINS STREET",null,3000,144.9623141,Restaurant and cafe Licence,5140,MELBOURNE,-37.81599834
PAPADAM SCL,MELBOURNE,32338831,TENANCY FL 2.06 ST COLLINS LANE,260 COLLINS STREET,3000,144.9650797,Restaurant and cafe Licence,5146,MELBOURNE,-37.81572013
THINK ASIA SCL,MELBOURNE,32338849,TENANCY FL 2.07 ST COLLINS LANE,260 COLLINS STREET,3000,144.9650797,Restaurant and cafe Licence,5147,MELBOURNE,-37.81572013
BIRD'S UPSTAIRS,MELBOURNE,31956864,"GROUND FLOOR AND MEZZANINE LEVEL,","LOT 1R, GROUND LEVEL, 350 WILLIAM STREET",3000,144.9564691,General Licence,5177,MELBOURNE,-37.81129508
WINGS OF GLORY,MELBOURNE,32339722,2/288 LITTLE LONSDALE ST,null,3000,144.9608467,Restaurant and cafe Licence,5192,MELBOURNE,-37.81145799
THE SCHOOL OF LIFE AUSTRALIA,MELBOURNE,36144276,669 BOURKE ST,null,3000,144.9540571,Limited Licence,5206,MELBOURNE,-37.81708809
VUE DE MONDE,MELBOURNE,36144585,"GROUND FLOOR, RIALTO SOUTH TOWER",525 COLLINS STREET,3000,144.9573108,Limited Licence,5227,MELBOURNE,-37.8183819
NANDO'S,MELBOURNE,36144153,551 FLINDERS STREET,null,3000,144.9565951,Limited Licence,5230,MELBOURNE,-37.82085366
SUSHI & NORI MELBOURNE,MELBOURNE,32340244,TENANCY 6,360 COLLINS STREET,3000,144.9623141,Restaurant and cafe Licence,5252,MELBOURNE,-37.81599834
WINGS OF GLORY,MELBOURNE,36144593,2/288 LITTLE LONSDALE ST,null,3000,144.9608467,Limited Licence,5261,MELBOURNE,-37.81145799
SPRING STREET EVENTS PTY LTD,MELBOURNE,32340260,"1ST FLOOR, 10 BOURKE ST",null,3000,144.972573,On-Premises Licence,5280,MELBOURNE,-37.811289
THE PRESS CLUB RESTAURANT & BAR,MELBOURNE,36144365,LOT 1R,44-74 FLINDERS STREET,3000,144.9726593,Limited Licence,5284,MELBOURNE,-37.81569349
SAMBAL KAMPUNG,MELBOURNE,32339829,"SHOP 1, 500 ELIZABETH STREET",null,3000,144.9602201,Restaurant and cafe Licence,5345,MELBOURNE,-37.80723593
GOODOVENING,MELBOURNE,36144789,SHOP 3,200 QUEEN STREET,3000,144.9603331,Limited Licence,5351,MELBOURNE,-37.81359231
HOMI NOODLE BAR,MELBOURNE,32339853,SHOP 2 190 QUEEN STREET,null,3000,144.9605479,Restaurant and cafe Licence,5356,MELBOURNE,-37.81406649
SHUJINKO,MELBOURNE,32340121,427 ELIZABETH STREET,null,3000,144.96046,Restaurant and cafe Licence,5376,MELBOURNE,-37.80898
AROMA INDIAN RESTAURANT AND LOUNGE,MELBOURNE,31286594,"SHOP 4, 280 KING STREET",null,3000,144.9546781,BYO Permit,5378,MELBOURNE,-37.81352122
GREEN OLIVE AT RED HILL,MELBOURNE,36144755,SHOP 11 CENTRE WAY ARCADE,259-263 COLLINS ST,3000,144.9655043,Limited Licence,5384,MELBOURNE,-37.81639434
LANEWAY GREENS,MELBOURNE,32344418,SHOP 67 45 COLLINS ST,null,3000,144.9720272,Restaurant and cafe Licence,5398,MELBOURNE,-37.8146396
MOCK TURTLE DEGRAVES,MELBOURNE,32340341,34 DEGRAVES ST,null,3000,144.9658414,Restaurant and cafe Licence,5406,MELBOURNE,-37.81694088
DONG TING,MELBOURNE,32340935,295-297 ELIZABETH ST,null,3000,144.9617138,Restaurant and cafe Licence,5428,MELBOURNE,-37.81171473
KIRK'S WINE BAR,MELBOURNE,32343828,46-50 HARDWARE LANE,null,3000,144.9613224,On-Premises Licence,5484,MELBOURNE,-37.81355537
FERDYDURKE,MELBOURNE,32342937,LEVEL 1 & 2,239 LONSDALE STREET,3000,144.965386,Late night (on-premises) Licence,5485,MELBOURNE,-37.81159802
PEZZO,MELBOURNE,31956961,88 FLINDERS LANE,null,3000,144.970501,General Licence,5489,MELBOURNE,-37.81454157
LITTLE BILLY MELBOURNE,MELBOURNE,36145167,"SHOP W102, 190 WILLIAM STREET",null,3000,144.9574187,Limited Licence,5492,MELBOURNE,-37.81455605
NOMADS MELBOURNE,MELBOURNE,32343959,GROUND FLOOR 192-198 A'BECKETT,null,3000,144.95758,On-Premises Licence,5496,MELBOURNE,-37.81002
HUNGRY BEAR CAFE,MELBOURNE,32341711,MELBOURNE CENTRAL,SHOP GD 0E5 211 LATROBE STREET,3000,144.9634863,Restaurant and cafe Licence,5502,MELBOURNE,-37.81170035
GRILL'D,MELBOURNE,36145450,369 LITTLE BOURKE ST,null,3000,144.9617736,Limited Licence,5512,MELBOURNE,-37.81367133
THE MAYFAIR RESTAURANT,MELBOURNE,32340799,13/45 COLLINS STREET,null,3000,144.9720272,Restaurant and cafe Licence,5540,MELBOURNE,-37.8146396
DODEE PAIDANG THAI BAR AND CAFE,MELBOURNE,32342733,BASEMENT 353 LITTLE COLLINS STREET,"& SHOP 7B, 359 LITTLE COLLINS STREET",3000,144.9629631,Restaurant and cafe Licence,5544,MELBOURNE,-37.81556612
GYOZA GYOZA,MELBOURNE,32340901,SHOP 1-036 EMPORIUM,287 LONSDALE STREET,3000,144.9636952,Restaurant and cafe Licence,5546,MELBOURNE,-37.812086
S.P.Q.R. PIZZERIA,MELBOURNE,36145701,26 LIVERPOOL STREET,null,3004,144.971319,Limited Licence,5561,MELBOURNE,-37.811109
RAMEN BANKARA,MELBOURNE,32341101,"BASEMENT, GROUND & MEZZANINE LEVELS",305 SWANSTON STREET,3000,144.9641981,Restaurant and cafe Licence,5564,MELBOURNE,-37.81100974
FONDA FLINDERS,MELBOURNE,36145874,LEVEL 3,31 FLINDERS LANE,3000,144.9732275,Limited Licence,5573,MELBOURNE,-37.81478828
TAKUMI JAPANESE RESTAURANT,MELBOURNE,32341020,SHOP 2,32 - 38 BOURKE STREET,3000,144.9720127,Restaurant and cafe Licence,5596,MELBOURNE,-37.811442
BANGKOK JAM,MELBOURNE,32341363,107 LITTLE BOURKE ST,null,3000,144.9692624,Restaurant and cafe Licence,5667,MELBOURNE,-37.81149372
LUCKY SKEWER,MELBOURNE,32341397,"LEVEL 1, 202 BOURKE STREET",null,3000,144.9672601,Restaurant and cafe Licence,5672,MELBOURNE,-37.81284699
SUPER HUB,MELBOURNE,36146317,LEVEL 33,50 LONSDALE STREET,3000,144.9711449,Limited Licence,5676,MELBOURNE,-37.80945695
ISHIZUKA,MELBOURNE,32342652,B01/139 (SHOP 1),BOURKE STREET,3000,144.9691353,Restaurant and cafe Licence,5702,MELBOURNE,-37.81272215
CHARISMA WORKSHOP,MELBOURNE,32342903,3 FREDERICK WAY,null,3000,144.9566523,On-Premises Licence,5716,MELBOURNE,-37.81028804
NONG TANG NOODLE HOUSE,MELBOURNE,32341698,SHOP 16 & 17,194-200 BOURKE ST,3000,144.9674067,Restaurant and cafe Licence,5727,MELBOURNE,-37.81278761
CHINA CHILLI,MELBOURNE,32341826,"SHOP 2 AND 15, LEVEL 1",206 BOURKE STREET,3000,144.9670197,Restaurant and cafe Licence,5743,MELBOURNE,-37.81291494
GREAT ASIA FOOD STORE,MELBOURNE,32067480,PART 222-230 LITTLE BOURKE STREET,GOLDEN SQUARE CARPARK,3000,144.9658396,Packaged Liquor Licence,5756,MELBOURNE,-37.81146079
GYOZA GYOZA,MELBOURNE,32342246,"SHOP L01, 157 MELBOURNE CENTRAL",211 LATROBE STREET,3000,144.9634863,Restaurant and cafe Licence,5775,MELBOURNE,-37.81170035
GOODIE CATERING,MELBOURNE,36146341,PART GROUND FLOOR,43-51 QUEEN STREET,3000,144.9616755,Limited Licence,5777,MELBOURNE,-37.81772085
ST ALI,MELBOURNE,32342076,T R01 GRD & MEZZANINE LEVELS RIALTO,"PODIUM COMPLEX, 525 COLLINS STREET",3000,144.9573108,Restaurant and cafe Licence,5793,MELBOURNE,-37.8183819
HOT SPICY STICK,MELBOURNE,32342953,L 2,202-204 BOURKE ST,3000,144.9672601,Restaurant and cafe Licence,5802,MELBOURNE,-37.81284699
HABERDASHER CAFE,MELBOURNE,32342181,LOWER GROUND LEVEL ST. COLLINS LANE,260 COLLINS STREET,3000,144.9650797,Restaurant and cafe Licence,5840,MELBOURNE,-37.81572013
THE HARDWARE SOCIETE,MELBOURNE,32343056,10 KATHERINE PLACE,null,3000,144.9570765,Restaurant and cafe Licence,5841,MELBOURNE,-37.81993597
THAILANDER RIVERSIDE QUAY,SOUTHBANK,32342725,"TENANCY 4, BUILDING 2",4 RIVERSIDE QUAY,3006,144.9632942,Restaurant and cafe Licence,5849,MELBOURNE,-37.82075387
RAPHA RACING,MELBOURNE,32342270,32 GUILDFORD LANE,null,3000,144.9597902,Restaurant and cafe Licence,5901,MELBOURNE,-37.81123252
LAX - TORTERIA,MELBOURNE,32343284,SHOP 4 391 LITTLE LONSDALE STREET,null,3000,144.960324,Restaurant and cafe Licence,5912,MELBOURNE,-37.81186188
BILLY'S LANE,MELBOURNE,32342474,"SHOP 7, 360 COLLINS STREET",null,3000,144.9623141,Restaurant and cafe Licence,5919,MELBOURNE,-37.81599834
GRAND HOTEL,MELBOURNE,36148173,33 SPENCER STREET,null,3000,144.9542893,Limited Licence,5933,MELBOURNE,-37.82004642
BILLY'S CENTRAL,MELBOURNE,32342709,"SHOP L02, 220A MELBOURNE CENTRAL,",211 LATROBE STREET,3000,144.9634863,Restaurant and cafe Licence,5939,MELBOURNE,-37.81170035
CUB PRIVATE BUSINESS CLUB,MELBOURNE,36148377,LEVEL 5 & 6,93-95 QUEEN STREET,3000,144.9610294,Limited Licence,5942,MELBOURNE,-37.81636197
SECTOR SERVICES,MELBOURNE,36146993,L 3,257 COLLINS ST,3000,144.9657885,Limited Licence,5953,MELBOURNE,-37.81670264
MAKOTO MELBOURNE CENTRAL,MELBOURNE,32342872,MELBOURNE CENTRAL,SHOP 239 L02 LONSDALE ST,3000,144.9634863,Restaurant and cafe Licence,5955,MELBOURNE,-37.81170035
GYOZA GYOZA,MELBOURNE,36147046,SHOP 1-036 EMPORIUM,287 LONSDALE STREET,3000,144.9636952,Limited Licence,5959,MELBOURNE,-37.812086
DRUMPLINGS,MELBOURNE,32344549,227-229 BOURKE STREET,null,3000,144.9669093,Restaurant and cafe Licence,5976,MELBOURNE,-37.81337671
RUSTICA RIALTO,MELBOURNE,32344874,"RETAIL 11, PODIUM RIALTO",525 COLLINS STREET,3000,144.9573097,Restaurant and cafe Licence,6058,MELBOURNE,-37.81838223
SPIFF,SOUTHBANK,36147397,L 21,28 FRESHWATER PL,3006,144.9620618,Limited Licence,6094,MELBOURNE,-37.82240069
GARAGE CAFE & GRILL,MELBOURNE,32343991,"1R,321 LATROBE STREET",null,3000,144.9599506,Restaurant and cafe Licence,6096,MELBOURNE,-37.81095284
SHANGHAI STREET ON BOURKE,MELBOURNE,32343501,"PART TERRACE LEVEL, THE PAVILION",360-374 BOURKE STREET,3000,144.9627596,Restaurant and cafe Licence,6100,MELBOURNE,-37.81416601
MAI FOUNDATION CAFE,MELBOURNE,32343967,"SHOP 1, HWKR CENTRE",137 A'BECKETT STREET,3000,144.9597637,On-Premises Licence,6121,MELBOURNE,-37.80988989
PENTOLINA,MELBOURNE,32343771,SHOP 2 377 LITTLE COLLINS ST,null,3000,144.9623727,Restaurant and cafe Licence,6153,MELBOURNE,-37.81572068
INFINITE WASABI,SOUTHBANK,32344701,T3 RIVERSIDE QUAY 1 SOUTHBANK,BOULEVARD & 4-6 RIVERSIDE QUAY,3006,144.9632942,Restaurant and cafe Licence,6161,MELBOURNE,-37.82075387
IPPUDO,MELBOURNE,32344387,SHOP ART18 300 LONSDALE STREET,QV SHOPPING CENTRE,3000,144.9634863,Restaurant and cafe Licence,6192,MELBOURNE,-37.81170035
MEYERS PLACE BAR,MELBOURNE,32344426,7/24 CROSSLEY STREET,null,3000,144.9711849,On-Premises Licence,6201,MELBOURNE,-37.81139169
THE WINE SECRET,MELBOURNE,36147630,L 9,440 COLLINS ST,3000,144.959845,Limited Licence,6212,MELBOURNE,-37.81721692
ASADO BY ST,SOUTHBANK,32345935,TENANCY 8,6 RIVERSIDE QUAY,3006,144.9637632,Restaurant and cafe Licence,6218,MELBOURNE,-37.82063582
GRILL'D,MELBOURNE,36148000,SHOP 9,256 FLINDERS STREET,3000,144.9656475,Limited Licence,6245,MELBOURNE,-37.81776407
GRILL'D,MELBOURNE,36148050,"SHOP L03 319A, LEVEL 3","MELBOURNE CENTRAL , 211 LATROBE STREET",3000,144.9634863,Limited Licence,6248,MELBOURNE,-37.81170035
LITTLE WHITE TRADING,MELBOURNE,36147949,L 12,41 EXHIBITION ST,3000,144.9716281,Limited Licence,6254,MELBOURNE,-37.81498226
GRILL'D,MELBOURNE,36147957,LG CS 08 SOUTHERN CROSS STATION,SPENCER STREET,3000,144.952945,Limited Licence,6256,MELBOURNE,-37.81708897
GRILL'D,SOUTHBANK,36147999,"SHOP GR32, SOUTHGATE RESTAURANT PRECINCT",SOUTHGATE COMPLEX,3006,144.9665168,Limited Licence,6257,MELBOURNE,-37.82125934
GRILL'D,MELBOURNE,36147965,G.02 83 FLINDERS LANE,null,3000,144.9718243,Limited Licence,6258,MELBOURNE,-37.81542198
SENSORY LAB,MELBOURNE,32344989,"TENANCY 9, RIALTO COMPLEX",525 COLLINS STREET,3000,144.9573108,Restaurant and cafe Licence,6300,MELBOURNE,-37.8183819
BAR TINI,MELBOURNE,31957404,3-5 HOSIER LANE,null,3000,144.9689862,Late night (general) Licence,6313,MELBOURNE,-37.81649703
PIEFACE 415 ELIZABETH STREET,MELBOURNE,36148872,SHOP 2 413-417 ELIZABETH ST,null,3000,144.960555,Limited Licence,6355,MELBOURNE,-37.8091794
HANAICHI,MELBOURNE,32345333,SHOP 13-15 QV SQUARE,CNR SWANSTON STREET AND LONSDALE STREET,3000,144.9655342,Restaurant and cafe Licence,6362,MELBOURNE,-37.8103574
DAVID'S HOT POT,MELBOURNE,32346541,279 LA TROBE STREET,null,3000,144.960936,Restaurant and cafe Licence,6380,MELBOURNE,-37.8106739
MELBOURNE WHISKY ROOM,MELBOURNE,31957470,"LEVEL 1, 270A RUSSELL STREET",null,3000,144.9671533,General Licence,6400,MELBOURNE,-37.81011456
ECCO CATERING,EAST MELBOURNE,36148814,502B ALBERT ST,null,3002,144.9739834,Limited Licence,6418,MELBOURNE,-37.80915989
RIVA CAFE BAR,MELBOURNE,32345804,SHOP 9-11 THE WALK,309-325 BOURKE STREET,3000,144.9643876,Restaurant and cafe Licence,6424,MELBOURNE,-37.81412219
HEROES BAR,MELBOURNE,32347034,188 BOURKE STREET,null,3000,144.967626,On-Premises Licence,6432,MELBOURNE,-37.812727
CANTO RESTAURANT AND CAFE,MELBOURNE,32345406,"TENANCY T1A, LEVEL 4, BUILDING 14",100-186 LATROBE STREET,3000,144.965418,Restaurant and cafe Licence,6439,MELBOURNE,-37.807499
MANSAE KOREAN BBQ & BAR,MELBOURNE,32345367,SHOP 9 120 A'BECKETT STREET,null,3000,144.9596757,Restaurant and cafe Licence,6447,MELBOURNE,-37.80900001
ROLLING NORI,MELBOURNE,32345383,"T302, 13 ROSE LANE",null,3000,144.9540811,Restaurant and cafe Licence,6448,MELBOURNE,-37.81545214
HAKOYA RAMEN,MELBOURNE,32345561,"102T, 609 LONSDALE STREET",null,3000,144.9542224,Restaurant and cafe Licence,6453,MELBOURNE,-37.81480198
KOREAN TABLE,MELBOURNE,32345600,"T407, 33 ROSE LANE",null,3000,144.9540811,Restaurant and cafe Licence,6467,MELBOURNE,-37.81545214
STREET WRAP,MELBOURNE,32346800,536 LONSDALE STREET,null,3000,144.956404,Restaurant and cafe Licence,6486,MELBOURNE,-37.81372705
NOTEL MELBOURNE,MELBOURNE,36149187,388-394 FLINDERS LANE,null,3000,144.9610858,Limited Licence,6510,MELBOURNE,-37.81804014
IZAKAYA HACHIBEH,MELBOURNE,31957543,143-145 BOURKE STREET,null,3000,144.9690285,General Licence,6513,MELBOURNE,-37.81275372
TANG HUO KUNG FU,MELBOURNE,32345642,277 ELIZABETH STREET,null,3000,144.9616462,Restaurant and cafe Licence,6515,MELBOURNE,-37.81223823
MAKAN RESTAURANT,MELBOURNE,32345668,360 COLLINS STREET,null,3000,144.9623141,Restaurant and cafe Licence,6523,MELBOURNE,-37.81599834
MR RHINO SUPERMARKET,MELBOURNE,32067820,361-365 LITTLE LONSDALE STREET,null,3000,144.9612399,Packaged Liquor Licence,6531,MELBOURNE,-37.81159838
THATABOY,MELBOURNE,31957616,19 KATHERINE PLACE,null,3000,144.956444,General Licence,6534,MELBOURNE,-37.819872
RUSTICA,MELBOURNE,32346046,"LEVEL 2, SHOP 226, 300 LONSDALE STREET",MELBOURNE CENTRAL,3000,144.9634863,Restaurant and cafe Licence,6536,MELBOURNE,-37.81170035
LITTLE LON DISTILLING CO.,MELBOURNE,31957593,17 CASSELDEN PLACE,null,3000,144.9710149,General Licence,6539,MELBOURNE,-37.80886316
KANEDA JAPANESE RESTAURANT,MELBOURNE,32346185,"SHOP 6, 200 BOURKE STREET",null,3000,144.9674067,Restaurant and cafe Licence,6541,MELBOURNE,-37.81278761
ASIA UNIQUE,MELBOURNE,32345862,"SHOP 5, PARAMOUNT CENTRE",108 BOURKE STREET,3000,144.9699957,Restaurant and cafe Licence,6544,MELBOURNE,-37.81202407
ODA SUSHI GPO,MELBOURNE,32346119,SHOP G28/350 BOURKE STREET,null,3000,144.9635021,Restaurant and cafe Licence,6566,MELBOURNE,-37.81392708
GUZMAN Y GOMEZ SWANSTON STREET,MELBOURNE,36150188,GROUND FLOOR & MEZZANINE,"TENANCY 2, 289-299 SWANSTON STREET",3000,144.9643181,Limited Licence,6571,MELBOURNE,-37.81119205
STATE OF GRACE EST. 2013,MELBOURNE,32347327,BASEMENT LEVEL,27-31 KING STREET,3000,144.9569879,On-Premises Licence,6573,MELBOURNE,-37.81974364
UPSTAIRS 360,MELBOURNE,32346347,"LEVEL 1, 360 LATROBE STREET",null,3000,144.9591391,Restaurant and cafe Licence,6600,MELBOURNE,-37.81075091
DRAGON HOT POT,MELBOURNE,32346266,433 ELIZABETH STREET,null,3000,144.9604063,Restaurant and cafe Licence,6609,MELBOURNE,-37.80887138
